date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:31	154/154	---MCZ	200	added ('OK')	text/plain	date:Sun,%2003%20Mar%202024%2013:36:31%20GMT	https://cercle-genealogique.fr/robots.txt		(from )
14:36:31	94765/94765	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2013:36:31%20GMT	https://cercle-genealogique.fr/	C:/My%20Web%20Sites/https___cercle-genealogique.fr_11/cercle-genealogique.fr/index.html	(from )
14:36:31	1093302/1093302	---MCZ	200	added ('OK')	text/css	date:Tue,%2027%20Feb%202024%2002:39:31%20GMT	https://cercle-genealogique.fr/wp-content/uploads/fusion-styles/1673b4608ffa20bb75d7f281552a0b1d.min.css?ver=3.11.4	C:/My%20Web%20Sites/https___cercle-genealogique.fr_11/cercle-genealogique.fr/wp-content/uploads/fusion-styles/1673b4608ffa20bb75d7f281552a0b1d.minb5ca.css	(from https://cercle-genealogique.fr/)
14:36:32	11644/11644	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202024%2007:23:00%20GMT	https://cercle-genealogique.fr/wp-content/plugins/google-analytics-dashboard-for-wp/assets/js/frontend-gtag.min.js?ver=7.23.1	C:/My%20Web%20Sites/https___cercle-genealogique.fr_11/cercle-genealogique.fr/wp-content/plugins/google-analytics-dashboard-for-wp/assets/js/frontend-gtag.min872f.js	(from https://cercle-genealogique.fr/)
14:36:32	11689/11689	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Feb%202024%2002:09:11%20GMT	https://cercle-genealogique.fr/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min.js?ver=8.24.0	C:/My%20Web%20Sites/https___cercle-genealogique.fr_11/cercle-genealogique.fr/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.minbcd5.js	(from https://cercle-genealogique.fr/)
14:36:32	87553/87553	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202024%2007:18:39%20GMT	https://cercle-genealogique.fr/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/https___cercle-genealogique.fr_11/cercle-genealogique.fr/wp-includes/js/jquery/jquery.minf43b.js	(from https://cercle-genealogique.fr/)
14:36:32	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2014%20Sep%202023%2010:03:54%20GMT	https://cercle-genealogique.fr/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/https___cercle-genealogique.fr_11/cercle-genealogique.fr/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://cercle-genealogique.fr/)
14:36:33	46757/46757	---MC-	200	added ('OK')	application/rss+xml	etag:%22dec0c338417fa3dd86cc9a99b2e3d7d9%22	https://cercle-genealogique.fr/feed/	C:/My%20Web%20Sites/https___cercle-genealogique.fr_11/cercle-genealogique.fr/feed/index.html	(from https://cercle-genealogique.fr/)
14:36:33	925/925	---MC-	200	added ('OK')	application/rss+xml	etag:%22dec0c338417fa3dd86cc9a99b2e3d7d9%22	https://cercle-genealogique.fr/comments/feed/	C:/My%20Web%20Sites/https___cercle-genealogique.fr_11/cercle-genealogique.fr/comments/feed/index.html	(from https://cercle-genealogique.fr/)
14:36:33	912/912	---MC-	200	added ('OK')	application/rss+xml	etag:%22dec0c338417fa3dd86cc9a99b2e3d7d9%22	https://cercle-genealogique.fr/accueil/feed/	C:/My%20Web%20Sites/https___cercle-genealogique.fr_11/cercle-genealogique.fr/accueil/feed/index.html	(from https://cercle-genealogique.fr/)
